"","DatesR","P","T","E","Qls","Qmm"
"127",1984-05-06,0,9.5,2.2,4440,1.0656
"128",1984-05-07,0.3,10.2,2.4,3240,0.7776
"129",1984-05-08,0.5,13.2,2.9,3440,0.8256
"130",1984-05-09,3.2,10.9,2.5,3240,0.7776
"131",1984-05-10,0.3,9.6,2.3,3440,0.8256
"132",1984-05-11,7.7,9.3,2.3,3040,0.7296
"133",1984-05-12,1.4,7.3,2,3690,0.8856
"134",1984-05-13,24.5,5.4,1.7,3940,0.9456
"135",1984-05-14,3.5,5.3,1.7,9450,2.268
"136",1984-05-15,7.4,5.9,1.8,11400,2.736
"137",1984-05-16,6.6,5.1,1.7,10200,2.448
"138",1984-05-17,2.1,6,1.8,14000,3.36
"139",1984-05-18,0,7.2,2,12600,3.024
"140",1984-05-19,0.3,8.9,2.3,12200,2.928
"141",1984-05-20,4.1,8.7,2.3,11000,2.64
"142",1984-05-21,0,11,2.6,7250,1.74
"143",1984-05-22,1.5,14.2,3.2,6950,1.668
"144",1984-05-23,4.1,10.3,2.5,7950,1.908
"145",1984-05-24,0,13.3,3,7600,1.824
"146",1984-05-25,0,16.2,3.6,7250,1.74
"147",1984-05-26,0,16.2,3.6,5300,1.272
"148",1984-05-27,0.9,10.8,2.7,4700,1.128
"149",1984-05-28,0,11,2.7,3440,0.8256
"150",1984-05-29,0,14.6,3.3,4440,1.0656
"151",1984-05-30,0,11.9,2.9,4190,1.0056
"152",1984-05-31,0,10.8,2.7,4190,1.0056
"153",1984-06-01,2.7,10.6,2.7,3940,0.9456
"154",1984-06-02,1.1,11.4,2.8,3940,0.9456
"155",1984-06-03,0,15.4,3.5,3690,0.8856
"156",1984-06-04,0.2,18.2,4,2640,0.6336
"157",1984-06-05,17.3,15.8,3.6,3040,0.7296
"158",1984-06-06,0.1,9.9,2.6,3690,0.8856
"159",1984-06-07,5.9,9.5,2.5,3940,0.9456
"160",1984-06-08,0,9.3,2.5,3940,0.9456
"161",1984-06-09,2.7,10.4,2.7,3240,0.7776
"162",1984-06-10,0.2,10.7,2.7,2640,0.6336
"163",1984-06-11,2.3,9.6,2.6,2440,0.5856
"164",1984-06-12,0.2,10.8,2.7,2440,0.5856
"165",1984-06-13,0.1,12.6,3.1,2280,0.5472
"166",1984-06-14,8.4,12.8,3.1,2440,0.5856
"167",1984-06-15,9,12.9,3.1,2840,0.6816
"168",1984-06-16,1.3,12.7,3.1,4190,1.0056
"169",1984-06-17,0,11.7,2.9,3440,0.8256
"170",1984-06-18,0,16.4,3.7,2440,0.5856
"171",1984-06-19,0.2,15.2,3.5,2280,0.5472
"172",1984-06-20,0,14.6,3.4,1960,0.4704
"173",1984-06-21,0,15.4,3.6,2120,0.5088
"174",1984-06-22,0,15.5,3.6,1800,0.432
"175",1984-06-23,0,12.3,3,1640,0.3936
"176",1984-06-24,0,11.8,2.9,1520,0.3648
"177",1984-06-25,0,17.1,3.9,1640,0.3936
"178",1984-06-26,0.5,19.9,4.4,1520,0.3648
"179",1984-06-27,8.2,15.4,3.6,1520,0.3648
"180",1984-06-28,0,14.1,3.3,1520,0.3648
"181",1984-06-29,19,12.7,3.1,1520,0.3648
"182",1984-06-30,0,11.1,2.8,3690,0.8856
"183",1984-07-01,6.6,12.8,3.1,2280,0.5472
"184",1984-07-02,0.7,11.5,2.9,1960,0.4704
"185",1984-07-03,0.4,15.2,3.5,1960,0.4704
"186",1984-07-04,3.4,17.2,3.8,1800,0.432
"187",1984-07-05,10.2,16.5,3.7,1960,0.4704
"188",1984-07-06,0,16.5,3.7,3440,0.8256
"189",1984-07-07,0,18.3,4,1800,0.432
"190",1984-07-08,0,21.6,4.6,1520,0.3648
"191",1984-07-09,19.9,20.6,4.4,1410,0.3384
"192",1984-07-10,0,11.6,2.8,2840,0.6816
"193",1984-07-11,0,11.9,2.9,2640,0.6336
"194",1984-07-12,0,13.4,3.1,1800,0.432
"195",1984-07-13,0,14.7,3.3,1520,0.3648
"196",1984-07-14,0,15.4,3.5,1410,0.3384
"197",1984-07-15,0,16.6,3.6,1300,0.312
"198",1984-07-16,0.4,18,3.9,1190,0.2856
"199",1984-07-17,2.2,20.5,4.3,1190,0.2856
"200",1984-07-18,2.8,20,4.2,1190,0.2856
"201",1984-07-19,17.7,18.2,3.9,1410,0.3384
"202",1984-07-20,7,16.9,3.7,4190,1.0056
"203",1984-07-21,9.7,17.3,3.7,3240,0.7776
"204",1984-07-22,0.2,19.2,4,2640,0.6336
"205",1984-07-23,1.5,19.9,4.1,1960,0.4704
"206",1984-07-24,7.6,19.2,4,2280,0.5472
"207",1984-07-25,0.2,18.3,3.8,2440,0.5856
"208",1984-07-26,0.1,17.5,3.7,2120,0.5088
"209",1984-07-27,0,13.4,3,2280,0.5472
"210",1984-07-28,0,12,2.8,1960,0.4704
"211",1984-07-29,0,12.3,2.8,1520,0.3648
"212",1984-07-30,0.2,14.7,3.2,1520,0.3648
"213",1984-07-31,0,16.1,3.4,1410,0.3384
"214",1984-08-01,2.3,14.8,3.2,1300,0.312
"215",1984-08-02,5.6,12.6,2.8,1410,0.3384
"216",1984-08-03,3.9,12.5,2.8,1800,0.432
"217",1984-08-04,0,15.2,3.2,1960,0.4704
"218",1984-08-05,0,17.6,3.5,1640,0.3936
"219",1984-08-06,0,20.5,4,1410,0.3384
"220",1984-08-07,0.1,20.6,4,1080,0.2592
"221",1984-08-08,17.9,21.1,4,1000,0.24
"222",1984-08-09,1.3,19.7,3.8,2440,0.5856
"223",1984-08-10,2.4,20,3.8,1800,0.432
"224",1984-08-11,0.4,19.1,3.6,1300,0.312
"225",1984-08-12,0.3,21.2,3.9,1080,0.2592
"226",1984-08-13,10.1,17.4,3.4,1080,0.2592
"227",1984-08-14,1.8,15.9,3.1,1800,0.432
"228",1984-08-15,17.8,14.5,2.9,1520,0.3648
"229",1984-08-16,6,13,2.6,4440,1.0656
"230",1984-08-17,5.3,13.5,2.7,2640,0.6336
"231",1984-08-18,0.7,12.9,2.6,3940,0.9456
"232",1984-08-19,1.6,9.9,2.1,2280,0.5472
"233",1984-08-20,0,9.6,2.1,1960,0.4704
"234",1984-08-21,0.1,12.6,2.5,2120,0.5088
"235",1984-08-22,0,12.9,2.5,2440,0.5856
"236",1984-08-23,0,11.1,2.3,2280,0.5472
"237",1984-08-24,0,12.7,2.4,1960,0.4704
"238",1984-08-25,0,14.5,2.7,1640,0.3936
"239",1984-08-26,6.8,16.7,3,1960,0.4704
"240",1984-08-27,2.2,16.8,3,1640,0.3936
"241",1984-08-28,6.8,15.2,2.7,2120,0.5088
"242",1984-08-29,5.9,13.8,2.5,2280,0.5472
"243",1984-08-30,2.3,13.8,2.5,2840,0.6816
"244",1984-08-31,0.5,13.8,2.5,2280,0.5472
"245",1984-09-01,0.4,13.6,2.4,2280,0.5472
"246",1984-09-02,0,12,2.2,1410,0.3384
"247",1984-09-03,0,9.9,1.9,1410,0.3384
"248",1984-09-04,0,12.7,2.3,1640,0.3936
"249",1984-09-05,3.7,14.6,2.5,1800,0.432
"250",1984-09-06,1.9,15.8,2.6,2640,0.6336
"251",1984-09-07,5.1,15.2,2.5,2280,0.5472
"252",1984-09-08,0.2,15,2.5,1800,0.432
"253",1984-09-09,4.8,16.7,2.7,1800,0.432
"254",1984-09-10,5.2,10.8,1.9,1960,0.4704
"255",1984-09-11,0,6.6,1.4,2280,0.5472
"256",1984-09-12,0,7.4,1.5,1960,0.4704
"257",1984-09-13,12.2,8.4,1.6,1640,0.3936
"258",1984-09-14,13.1,7.2,1.4,2120,0.5088
"259",1984-09-15,0,9,1.6,6950,1.668
"260",1984-09-16,0.1,7.7,1.4,3240,0.7776
"261",1984-09-17,1.3,8.8,1.6,2640,0.6336
"262",1984-09-18,4.6,7.8,1.4,2840,0.6816
"263",1984-09-19,1,7.8,1.4,2640,0.6336
"264",1984-09-20,0,8.8,1.5,2840,0.6816
"265",1984-09-21,0,9.9,1.6,2840,0.6816
"266",1984-09-22,0,12.1,1.8,2440,0.5856
"267",1984-09-23,0,12.3,1.8,1410,0.3384
"268",1984-09-24,0,8.5,1.4,1640,0.3936
"269",1984-09-25,0,5.7,1.1,1640,0.3936
"270",1984-09-26,0,5,1,1800,0.432
"271",1984-09-27,0,5.8,1.1,1640,0.3936
"272",1984-09-28,0,6,1.1,1520,0.3648
"273",1984-09-29,0,7.2,1.2,1410,0.3384
"274",1984-09-30,0,10,1.5,1410,0.3384
"275",1984-10-01,0,11.8,1.6,1300,0.312
"276",1984-10-02,0,11.4,1.6,1190,0.2856
"277",1984-10-03,0,9.7,1.4,1190,0.2856
"278",1984-10-04,0,7.7,1.2,1080,0.2592
"279",1984-10-05,0,9.7,1.3,1190,0.2856
"280",1984-10-06,0,13,1.6,1080,0.2592
"281",1984-10-07,0,12.2,1.5,1000,0.24
"282",1984-10-08,0,10.7,1.4,1080,0.2592
"283",1984-10-09,0,9.9,1.3,1190,0.2856
"284",1984-10-10,33.8,11.4,1.4,1190,0.2856
"285",1984-10-11,12.9,6.2,1,5000,1.2
"286",1984-10-12,0.5,8.4,1.1,5950,1.428
"287",1984-10-13,0.3,11.9,1.4,3040,0.7296
"288",1984-10-14,0,8.8,1.1,2280,0.5472
"289",1984-10-15,0,6.7,0.9,1960,0.4704
"290",1984-10-16,0,5.4,0.8,1800,0.432
"291",1984-10-17,0,8.4,1.1,1520,0.3648
"292",1984-10-18,0,5.8,0.8,1640,0.3936
"293",1984-10-19,0,3.4,0.6,1520,0.3648
"294",1984-10-20,0,3.8,0.7,1640,0.3936
"295",1984-10-21,0,0.8,0.4,1520,0.3648
"296",1984-10-22,2.6,3.2,0.6,1640,0.3936
"297",1984-10-23,0,7.6,0.9,1960,0.4704
"298",1984-10-24,0,6.8,0.8,2120,0.5088
"299",1984-10-25,0,7.8,0.9,1960,0.4704
"300",1984-10-26,2.7,12.3,1.2,2440,0.5856
"301",1984-10-27,26.2,12.4,1.2,2440,0.5856
"302",1984-10-28,2.2,6.5,0.8,3690,0.8856
"303",1984-10-29,0,4.2,0.6,2640,0.6336
"304",1984-10-30,0,5.9,0.7,2840,0.6816
"305",1984-10-31,0,10.1,1,2840,0.6816
"306",1984-11-01,0,10,1,1960,0.4704
"307",1984-11-02,0,9,0.9,2640,0.6336
"308",1984-11-03,0,10.2,1,2640,0.6336
"309",1984-11-04,0,10.2,0.9,1960,0.4704
"310",1984-11-05,0,7.9,0.8,1960,0.4704
"311",1984-11-06,0,6.8,0.7,1960,0.4704
"312",1984-11-07,0,6.5,0.7,1800,0.432
"313",1984-11-08,0,7.1,0.7,1640,0.3936
"314",1984-11-09,0,7.8,0.7,1520,0.3648
"315",1984-11-10,10.3,9.8,0.8,1800,0.432
"316",1984-11-11,3.3,4.6,0.5,2120,0.5088
"317",1984-11-12,4.3,4.9,0.5,2280,0.5472
"318",1984-11-13,5.8,10.6,0.9,2840,0.6816
"319",1984-11-14,7,11.5,0.9,3440,0.8256
"320",1984-11-15,0.1,1.5,0.3,3940,0.9456
"321",1984-11-16,3.5,6.7,0.6,4700,1.128
"322",1984-11-17,13,12.8,0.9,3240,0.7776
"323",1984-11-18,0,0.7,0.3,3440,0.8256
"324",1984-11-19,10.6,3.4,0.4,3940,0.9456
"325",1984-11-20,2.3,8.3,0.7,10200,2.448
"326",1984-11-21,12.9,7,0.6,10600,2.544
"327",1984-11-22,9.5,10.4,0.7,16200,3.888
"328",1984-11-23,1.3,4.4,0.5,17900,4.296
"329",1984-11-24,3.5,1.3,0.3,15700,3.768
"330",1984-11-25,1.1,0.4,0.3,14000,3.36
"331",1984-11-26,0,-1.3,0.2,12200,2.928
"332",1984-11-27,0,-3.2,0.1,10600,2.544
"333",1984-11-28,0,0.7,0.3,9050,2.172
"334",1984-11-29,1,4.4,0.4,8700,2.088
"335",1984-11-30,4.8,6.2,0.5,9050,2.172
"336",1984-12-01,0,4.5,0.4,8700,2.088
"337",1984-12-02,0.5,6.8,0.5,8300,1.992
"338",1984-12-03,10.1,6.1,0.5,8300,1.992
"339",1984-12-04,2.2,4,0.4,10200,2.448
"340",1984-12-05,0,6.2,0.5,8700,2.088
"341",1984-12-06,0.3,6.5,0.5,8300,1.992
"342",1984-12-07,5.7,7.4,0.5,7950,1.908
"343",1984-12-08,27.9,2.9,0.3,11400,2.736
"344",1984-12-09,0,-0.1,0.2,17500,4.2
"345",1984-12-10,0,-0.3,0.2,12600,3.024
"346",1984-12-11,0,0.9,0.2,12200,2.928
"347",1984-12-12,0,2,0.3,14000,3.36
"348",1984-12-13,0,2.1,0.3,11800,2.832
"349",1984-12-14,0,0.6,0.2,10600,2.544
"350",1984-12-15,0,4.7,0.4,10200,2.448
"351",1984-12-16,0,4.4,0.4,9050,2.172
"352",1984-12-17,0,0.5,0.2,7950,1.908
"353",1984-12-18,0,-0.3,0.2,6950,1.668
"354",1984-12-19,0,-5.3,0,6250,1.5
"355",1984-12-20,0,-3.6,0,6950,1.668
"356",1984-12-21,0,-3.4,0.1,5300,1.272
"357",1984-12-22,0,-2.9,0.1,4440,1.0656
"358",1984-12-23,0,-2.2,0.1,4700,1.128
"359",1984-12-24,0,-0.7,0.2,4440,1.0656
"360",1984-12-25,0,1.7,0.3,6600, NaN
"361",1984-12-26,0,8.4,0.6,6600, NaN
"362",1984-12-27,4,9.4,0.6,6600, NaN
"363",1984-12-28,5.9,4.9,0.4,6600, NaN
"364",1984-12-29,0.1,2.6,0.3,6600, NaN
"365",1984-12-30,0.3,-1,0.2,6600, NaN
"366",1984-12-31,0,-2.1,0.1,6600, NaN
"367",1985-01-01,0,-3.4,0.1,2470, NaN
"368",1985-01-02,0,-3,0.1,2470, NaN
"369",1985-01-03,0,-3.6,0.1,2470, NaN
"370",1985-01-04,0,-2.1,0.1,2470, NaN
"371",1985-01-05,0,-2.4,0.1,2470, NaN
"372",1985-01-06,0,-2.3,0.1,2470, NaN
"373",1985-01-07,0,-3.2,0.1,2470, NaN
"374",1985-01-08,0,-3.8,0,2470, NaN
"375",1985-01-09,0,-4.3,0,2470, NaN
"376",1985-01-10,0,-4.9,0,2470, NaN
"377",1985-01-11,0,-3.8,0.1,2470, NaN
"378",1985-01-12,0,-3.2,0.1,2470, NaN
"379",1985-01-13,5.8,2.6,0.3,2470, NaN
"380",1985-01-14,5.4,5.2,0.5,2820,0.6768
"381",1985-01-15,2.4,5.2,0.5,4050,0.972
"382",1985-01-16,0.3,1.9,0.3,3630,0.8712
"383",1985-01-17,11.5,2.9,0.4,3420,0.8208
"384",1985-01-18,1.8,1.5,0.3,4830,1.1592
"385",1985-01-19,0.1,-0.6,0.2,4050,0.972
"386",1985-01-20,4,2.7,0.4,4050,0.972
"387",1985-01-21,1.3,3.6,0.4,3630,0.8712
"388",1985-01-22,0,-0.7,0.2,4310,1.0344
"389",1985-01-23,2.3,-0.6,0.2,4570,1.0968
"390",1985-01-24,0,1.2,0.3,4310,1.0344
"391",1985-01-25,0,-1.7,0.2,4310,1.0344
"392",1985-01-26,5.6,-0.9,0.2,4050,0.972
"393",1985-01-27,40.1,3.4,0.5,11900,2.856
"394",1985-01-28,0,1.6,0.3,29000,6.96
"395",1985-01-29,1,1.4,0.3,22500,5.4
"396",1985-01-30,5.8,3.9,0.5,20100,4.824
"397",1985-01-31,3.9,2.2,0.4,20100,4.824
"398",1985-02-01,0.1,-0.1,0.3,17300,4.152
"399",1985-02-02,0,-1.2,0.2,15900,3.816
"400",1985-02-03,0,-1.8,0.2,10300,2.472
"401",1985-02-04,0,-0.3,0.3,8700,2.088
"402",1985-02-05,0,0.6,0.3,9100,2.184
"403",1985-02-06,0,-0.6,0.3,8700,2.088
"404",1985-02-07,0,1.6,0.4,6600,1.584
"405",1985-02-08,0,1.9,0.4,6300,1.512
"406",1985-02-09,8,5.2,0.7,6300,1.512
"407",1985-02-10,6.4,0.9,0.4,8000,1.92
"408",1985-02-11,1.1,0.4,0.3,5650,1.356
"409",1985-02-12,10.1,2.7,0.5,6600,1.584
"410",1985-02-13,0.2,2,0.5,10300,2.472
"411",1985-02-14,0,1,0.4,8350,2.004
"412",1985-02-15,2.6,0.6,0.4,8000,1.92
"413",1985-02-16,0.8,-2.7,0.2,8000,1.92
"414",1985-02-17,0,-1.9,0.2,5650,1.356
"415",1985-02-18,8.6,-2,0.2,4570,1.0968
"416",1985-02-19,5.2,-0.4,0.3,7600,1.824
"417",1985-02-20,0.2,0.3,0.4,6600,1.584
"418",1985-02-21,7.2,1.9,0.5,5950,1.428
"419",1985-02-22,3,3.6,0.7,11900,2.856
"420",1985-02-23,12.3,2.3,0.6,14100,3.384
"421",1985-02-24,13.5,-0.1,0.4,17300,4.152
"422",1985-02-25,3.9,-1.5,0.3,15900,3.816
"423",1985-02-26,0.1,-1.9,0.3,16800,4.032
"424",1985-02-27,0,-2.3,0.2,15000,3.6
"425",1985-02-28,0,-3.6,0.1,10700,2.568
"426",1985-03-01,0,-1.2,0.3,9500,2.28
"427",1985-03-02,2.1,0.3,0.4,9100,2.184
"428",1985-03-03,0,0.6,0.5,6900,1.656
"429",1985-03-04,0,3.7,0.8,7250,1.74
"430",1985-03-05,0,5.9,1,7600,1.824
"431",1985-03-06,0.9,4.7,0.9,7600,1.824
"432",1985-03-07,0.1,1.3,0.6,8350,2.004
"433",1985-03-08,0,1.8,0.6,7600,1.824
"434",1985-03-09,0,2.1,0.7,7250,1.74
"435",1985-03-10,0,-0.5,0.4,6300,1.512
"436",1985-03-11,0,-2.1,0.3,4050,0.972
"437",1985-03-12,0.6,-1.8,0.3,6600,1.584
"438",1985-03-13,3.5,-1.8,0.3,6300,1.512
"439",1985-03-14,0.1,-0.2,0.5,5650,1.356
"440",1985-03-15,0,-0.8,0.4,5350,1.284
"441",1985-03-16,0,0.1,0.5,4310,1.0344
"442",1985-03-17,0,-0.7,0.5,4050,0.972
"443",1985-03-18,0,1.9,0.7,3000,0.72
"444",1985-03-19,0,3.2,0.9,4310,1.0344
"445",1985-03-20,0,1.7,0.7,4310,1.0344
"446",1985-03-21,0,5.1,1.1,4050,0.972
"447",1985-03-22,0,7.7,1.4,3630,0.8712
"448",1985-03-23,0,8.6,1.5,3630,0.8712
"449",1985-03-24,2.7,10.1,1.7,3630,0.8712
"450",1985-03-25,6.2,4.8,1.1,3420,0.8208
"451",1985-03-26,0.2,4.5,1.1,5650,1.356
"452",1985-03-27,0,6,1.3,5350,1.284
"453",1985-03-28,3.4,8.7,1.6,4830,1.1592
"454",1985-03-29,0.7,6.1,1.3,5950,1.428
"455",1985-03-30,0.6,3.5,1,6300,1.512
"456",1985-03-31,0,6.1,1.3,4570,1.0968
"457",1985-04-01,0,6.5,1.4,4050,0.972
"458",1985-04-02,5.6,6.1,1.3,5350,1.284
"459",1985-04-03,0.1,2.1,0.9,6600,1.584
"460",1985-04-04,0,1.1,0.8,5100,1.224
"461",1985-04-05,0,5.8,1.3,5100,1.224
"462",1985-04-06,0,8.9,1.7,3840,0.9216
"463",1985-04-07,0,5,1.3,3500,0.84
"464",1985-04-08,0,2.6,1,3200,0.768
"465",1985-04-09,7.1,1.4,0.8,3100,0.744
"466",1985-04-10,0.1,0.2,0.7,3400,0.816
"467",1985-04-11,7.6,1.4,0.8,3600,0.864
"468",1985-04-12,2.5,2.6,1,3700,0.888
"469",1985-04-13,0.1,2.4,1,3500,0.84
"470",1985-04-14,0,2.1,1,3000,0.72
"471",1985-04-15,1.3,4.4,1.3,2470,0.5928
"472",1985-04-16,0,6.2,1.5,3210,0.7704
"473",1985-04-17,0,6,1.5,4570,1.0968
"474",1985-04-18,0.5,6.1,1.6,4830,1.1592
"475",1985-04-19,3.8,3.5,1.2,4300,1.032
"476",1985-04-20,3.6,1.2,0.9,4200,1.008
"477",1985-04-21,1.1,3,1.1,4700,1.128
"478",1985-04-22,7.2,3.1,1.2,4100,0.984
"479",1985-04-23,2.9,5,1.4,4800,1.152
"480",1985-04-24,10.4,5.4,1.5,6500,1.56
"481",1985-04-25,0,5.4,1.5,7700,1.848
"482",1985-04-26,0,7.6,1.8,7000,1.68
"483",1985-04-27,0.4,10.7,2.3,6000,1.44
"484",1985-04-28,4.2,9.9,2.2,5800,1.392
"485",1985-04-29,3.5,11.4,2.4,6600,1.584
"486",1985-04-30,0,14,2.9,6900,1.656
"487",1985-05-01,0.5,15.5,3.1,5950,1.428
"488",1985-05-02,13.8,15.2,3.1,5650,1.356
"489",1985-05-03,0.7,16.7,3.3,11100,2.664
"490",1985-05-04,0,16.7,3.3,9500,2.28
"491",1985-05-05,1.6,13.9,2.9,6900,1.656
"492",1985-05-06,2.4,10.4,2.4,5950,1.428
"493",1985-05-07,7,8.3,2.1,5650,1.356
